isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST SOUTH 178 0
true false SOUTH WEST 178 0
true false WEST SOUTH 177 10
true false SOUTH NORTH 177 10
true false NORTH WEST 176 20
true false WEST SOUTH 176 20
true false SOUTH WEST 176 20
true false WEST EAST 175 30
true false EAST NORTH 175 30
true false NORTH EAST 175 30
true false EAST WEST 175 30
true false WEST SOUTH 175 30
true false SOUTH SOUTH 175 30
true false SOUTH SOUTH 175 30
true false SOUTH WEST 175 30
true false WEST NORTH 175 30
true false NORTH WEST 175 30
true false WEST NORTH 174 40
true false NORTH NORTH 174 40
true false NORTH SOUTH 174 40
true false SOUTH NORTH 174 40
true false NORTH SOUTH 174 40
true false SOUTH NORTH 174 40
true false NORTH WEST 174 40
true false WEST NORTH 173 50
true false NORTH SOUTH 173 50
true false SOUTH SOUTH 172 60
true false SOUTH NORTH 171 70
true false NORTH SOUTH 171 70
true false SOUTH NORTH 171 70
true false NORTH SOUTH 171 70
true false SOUTH EAST 171 70
true false EAST NORTH 170 80
true false NORTH NORTH 170 80
true false NORTH SOUTH 170 80
true false SOUTH WEST 170 80
true false WEST EAST 170 80
true false EAST NORTH 170 80
true false NORTH NORTH 170 80
true false NORTH SOUTH 170 80
true false SOUTH WEST 170 80
true false WEST NORTH 170 80
true false NORTH SOUTH 170 80
true false SOUTH SOUTH 170 80
true false SOUTH WEST 170 80
true false WEST WEST 170 80
true false WEST SOUTH 170 80
true false SOUTH EAST 170 80
true false EAST WEST 170 80
true false WEST SOUTH 170 80
true false SOUTH NORTH 170 80
true false NORTH EAST 170 80
true false EAST EAST 170 80
true false EAST EAST 170 80
true false EAST SOUTH 170 80
true false SOUTH SOUTH 170 80
true false SOUTH WEST 170 80
true false WEST SOUTH 170 80
true false SOUTH WEST 170 80
true false WEST EAST 170 80
true false EAST WEST 170 80
true false WEST EAST 170 80
true false EAST NORTH 170 80
true false NORTH EAST 170 80
true false EAST EAST 169 90
true false EAST WEST 168 100
true false WEST NORTH 168 100
true false NORTH SOUTH 168 100
true false SOUTH SOUTH 168 100
true false SOUTH EAST 168 100
true false EAST SOUTH 168 100
true false SOUTH WEST 167 110
true false WEST EAST 167 110
true false EAST NORTH 167 110
true false NORTH WEST 167 110
true false WEST SOUTH 167 110
true false SOUTH EAST 167 110
true false EAST NORTH 167 110
true false NORTH NORTH 167 110
true false NORTH EAST 167 110
true false EAST SOUTH 167 110
true false SOUTH EAST 167 110
true false EAST SOUTH 167 110
true false SOUTH NORTH 166 120
true false NORTH WEST 166 120
true false WEST SOUTH 166 120
true false SOUTH WEST 166 120
true false WEST SOUTH 165 130
true false SOUTH WEST 165 130
true false WEST SOUTH 164 140
true false SOUTH SOUTH 164 140
true false SOUTH NORTH 164 140
true false NORTH SOUTH 164 140
true false SOUTH WEST 164 140
true false WEST SOUTH 163 -2147483499
true false SOUTH SOUTH 163 -2147483499
true false SOUTH NORTH 163 -2147483499
true false NORTH SOUTH 163 -2147483499
true false SOUTH NORTH 163 -2147483499
true false NORTH SOUTH 163 -2147483499
true false SOUTH EAST 163 -2147483499
true false EAST SOUTH 163 -2147483499
true false SOUTH SOUTH 163 -2147483499
true false SOUTH SOUTH 163 -2147483499
true false SOUTH EAST 163 -2147483499
true false EAST NORTH 163 -2147483499
true false NORTH WEST 163 -2147483499
true false WEST EAST 163 -2147483499
true false EAST SOUTH 163 -2147483499
true false SOUTH EAST 163 -2147483499
true false EAST WEST 163 -2147483499
true false WEST EAST 163 -2147483499
true false EAST SOUTH 163 -2147483499
true false SOUTH WEST 163 -2147483499
true false WEST WEST 163 -2147483499
true false WEST EAST 163 -2147483499
true false EAST WEST 163 -2147483499
true false WEST WEST 163 -2147483499
true false WEST SOUTH 163 -2147483499
true false SOUTH WEST 163 -2147483499
true false WEST SOUTH 162 158
true false SOUTH EAST 162 158
true false EAST EAST 162 158
true false EAST SOUTH 162 158
true false SOUTH NORTH 162 158
true false NORTH SOUTH 162 158
true false SOUTH EAST 162 158
true false EAST WEST 162 158
true false WEST NORTH 162 158
true false NORTH EAST 162 158
true false EAST EAST 162 158
true false EAST EAST 162 158
true false EAST SOUTH 161 168
true false SOUTH SOUTH 161 168
true false SOUTH EAST 161 168
true false EAST NORTH 160 178
true false NORTH NORTH 159 188
true false NORTH WEST 158 198
true false WEST EAST 158 198
true false EAST WEST 157 208
true false WEST SOUTH 157 208
true false SOUTH WEST 157 208
true false WEST NORTH 157 208
true false NORTH SOUTH 157 208
true false SOUTH SOUTH 157 208
true false SOUTH NORTH 157 208
true false NORTH NORTH 157 208
true false NORTH NORTH 157 208
true false NORTH EAST 157 208
true false EAST SOUTH 157 208
true false SOUTH SOUTH 157 208
true false SOUTH EAST 157 208
true false EAST SOUTH 156 218
true false SOUTH NORTH 156 218
true false NORTH NORTH 156 218
true false NORTH NORTH 156 218
true false NORTH EAST 156 218
true false EAST SOUTH 155 228
true false SOUTH EAST 155 228
true false EAST SOUTH 155 228
true false SOUTH WEST 155 228
true false WEST EAST 155 228
true false EAST EAST 155 228
true false EAST EAST 155 228
true false EAST SOUTH 155 228
true false SOUTH WEST 155 228
true false WEST NORTH 155 228
true false NORTH SOUTH 155 228
true false SOUTH EAST 155 228
true false EAST NORTH 155 228
true false NORTH WEST 154 238
true false WEST NORTH 154 238
true false NORTH WEST 153 248
true false WEST EAST 152 -2147483391
true false EAST EAST 152 -2147483391
true false EAST EAST 151 -2147483381
true false EAST NORTH 150 -2147483371
true false NORTH NORTH 149 -2147483361
true false NORTH WEST 148 -2147483351
true false WEST EAST 147 306
true false EAST SOUTH 147 306
true false SOUTH WEST 147 306
true false WEST EAST 147 306
true false EAST SOUTH 147 306
true false SOUTH NORTH 147 306
true false NORTH NORTH 147 306
true false NORTH NORTH 147 306
true false NORTH SOUTH 146 291
true false SOUTH WEST 146 291
true false WEST SOUTH 146 291
true false SOUTH EAST 146 291
true false EAST NORTH 146 291
true false NORTH EAST 146 291
true false EAST SOUTH 146 291
true false SOUTH NORTH 146 291
true false NORTH WEST 146 291
true false WEST SOUTH 146 291
true false SOUTH SOUTH 146 291
true false SOUTH NORTH 146 291
true false NORTH NORTH 146 291
true false NORTH SOUTH 146 291
true false SOUTH WEST 146 291
true false WEST SOUTH 146 291
true false SOUTH EAST 146 291
true false EAST WEST 146 291
true false WEST SOUTH 146 291
true false SOUTH WEST 146 291
true false WEST NORTH 145 -2147483373
true false NORTH EAST 145 -2147483373
true false EAST WEST 145 -2147483373
true false WEST SOUTH 145 -2147483373
true false SOUTH WEST 144 -2147483363
false false WEST WEST 143 294
