isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST SOUTH 178 0
true false SOUTH EAST 178 0
true false EAST EAST 177 10
true false EAST NORTH 176 20
true false NORTH EAST 176 20
true false EAST WEST 175 30
true false WEST NORTH 175 30
true false NORTH EAST 175 30
true false EAST NORTH 175 30
true false NORTH EAST 175 30
true false EAST SOUTH 174 40
true false SOUTH EAST 173 50
true false EAST NORTH 173 50
true false NORTH SOUTH 173 50
true false SOUTH EAST 173 50
true false EAST SOUTH 173 50
true false SOUTH WEST 172 60
true false WEST NORTH 171 70
true false NORTH NORTH 171 70
true false NORTH SOUTH 171 70
true false SOUTH EAST 171 70
true false EAST NORTH 171 70
true false NORTH NORTH 171 70
true false NORTH NORTH 171 70
true false NORTH SOUTH 171 70
true false SOUTH EAST 171 70
true false EAST NORTH 171 70
true false NORTH EAST 171 70
true false EAST WEST 170 80
true false WEST NORTH 170 80
true false NORTH WEST 170 80
true false WEST EAST 170 80
true false EAST NORTH 170 80
true false NORTH SOUTH 170 80
true false SOUTH NORTH 170 80
true false NORTH WEST 170 80
true false WEST WEST 170 80
true false WEST NORTH 170 80
true false NORTH NORTH 170 80
true false NORTH EAST 170 80
true false EAST SOUTH 170 80
true false SOUTH WEST 170 80
true false WEST WEST 170 80
true false WEST SOUTH 170 80
true false SOUTH EAST 170 80
true false EAST NORTH 170 80
true false NORTH NORTH 170 80
true false NORTH WEST 170 80
true false WEST WEST 170 80
true false WEST NORTH 170 80
true false NORTH EAST 170 80
true false EAST NORTH 170 80
true false NORTH EAST 169 90
true false EAST EAST 169 90
true false EAST NORTH 169 90
true false NORTH NORTH 168 100
true false NORTH NORTH 168 100
true false NORTH NORTH 168 100
true false NORTH EAST 168 100
true false EAST WEST 167 110
true false WEST NORTH 167 110
true false NORTH NORTH 167 110
true false NORTH WEST 167 110
true false WEST NORTH 167 110
true false NORTH WEST 167 110
true false WEST SOUTH 167 110
true false SOUTH WEST 167 110
true false WEST NORTH 167 110
true false NORTH WEST 167 110
true false WEST NORTH 167 110
true false NORTH NORTH 167 110
true false NORTH EAST 167 110
true false EAST EAST 167 110
true false EAST NORTH 166 120
true false NORTH NORTH 166 120
true false NORTH EAST 166 120
true false EAST NORTH 166 120
true false NORTH NORTH 166 120
true false NORTH SOUTH 166 120
true false SOUTH WEST 166 120
true false WEST EAST 166 120
true false EAST WEST 166 120
true false WEST SOUTH 166 120
true false SOUTH NORTH 166 120
true false NORTH NORTH 166 120
true false NORTH WEST 166 120
true false WEST EAST 166 120
true false EAST SOUTH 166 120
true false SOUTH WEST 166 120
true false WEST NORTH 166 120
true false NORTH EAST 166 120
true false EAST NORTH 166 120
true false NORTH SOUTH 166 120
true false SOUTH EAST 166 120
true false EAST NORTH 166 120
true false NORTH NORTH 166 120
true false NORTH SOUTH 166 120
true false SOUTH WEST 166 120
true false WEST EAST 166 120
true false EAST NORTH 166 120
true false NORTH EAST 166 120
true false EAST WEST 166 120
true false WEST SOUTH 166 120
true false SOUTH NORTH 166 120
true false NORTH NORTH 166 120
true false NORTH SOUTH 166 120
true false SOUTH WEST 166 120
true false WEST NORTH 166 120
true false NORTH SOUTH 166 120
true false SOUTH SOUTH 166 120
true false SOUTH NORTH 166 120
true false NORTH WEST 166 120
true false WEST NORTH 166 120
true false NORTH EAST 166 120
true false EAST SOUTH 166 120
true false SOUTH NORTH 166 120
true false NORTH WEST 166 120
true false WEST NORTH 166 120
true false NORTH WEST 165 130
true false WEST EAST 165 130
true false EAST EAST 164 140
true false EAST WEST 163 150
true false WEST SOUTH 163 150
true false SOUTH EAST 163 150
true false EAST EAST 163 150
true false EAST SOUTH 162 160
true false SOUTH EAST 162 160
true false EAST NORTH 162 160
true false NORTH WEST 161 170
true false WEST EAST 161 170
true false EAST NORTH 161 170
true false NORTH SOUTH 160 180
true false SOUTH WEST 160 180
true false WEST WEST 160 180
true false WEST NORTH 160 180
true false NORTH EAST 160 180
true false EAST NORTH 159 190
true false NORTH SOUTH 159 190
true false SOUTH SOUTH 159 190
true false SOUTH EAST 159 190
true false EAST NORTH 158 200
true false NORTH NORTH 157 210
true false NORTH SOUTH 156 220
true false SOUTH NORTH 156 220
true false NORTH WEST 156 220
true false WEST WEST 155 -2147483419
true false WEST WEST 154 238
true false WEST NORTH 153 -2147483401
true false NORTH WEST 153 -2147483401
true false WEST EAST 152 256
true false EAST WEST 152 256
true false WEST NORTH 152 256
true false NORTH EAST 152 256
true false EAST NORTH 152 256
true false NORTH WEST 152 256
true false WEST WEST 152 256
true false WEST WEST 151 -2147483383
true false WEST SOUTH 151 -2147483383
true false SOUTH SOUTH 150 -2147483373
true false SOUTH EAST 149 -2147483363
true false EAST EAST 148 -2147483353
true false EAST WEST 147 -2147483343
true false WEST SOUTH 147 -2147483343
true false SOUTH NORTH 147 -2147483343
true false NORTH EAST 147 -2147483343
true false EAST WEST 147 -2147483343
true false WEST NORTH 147 -2147483343
true false NORTH SOUTH 147 -2147483343
true false SOUTH SOUTH 147 -2147483343
true false SOUTH NORTH 147 -2147483343
true false NORTH SOUTH 147 -2147483343
true false SOUTH WEST 147 -2147483343
true false WEST SOUTH 147 -2147483343
true false SOUTH WEST 147 -2147483343
true false WEST NORTH 146 314
true false NORTH SOUTH 146 314
