isAlive, hasCollided, currentDirection, nextDirection, remainingPellets, score
true false EAST SOUTH 178 0
true false SOUTH EAST 178 0
true false EAST NORTH 177 10
true false NORTH WEST 176 20
true false WEST EAST 176 20
true false EAST WEST 176 20
true false WEST WEST 176 20
true false WEST SOUTH 176 20
true false SOUTH SOUTH 176 20
true false SOUTH NORTH 176 20
true false NORTH EAST 176 20
true false EAST SOUTH 176 20
true false SOUTH EAST 176 20
true false EAST WEST 175 30
true false WEST EAST 175 30
true false EAST EAST 175 30
true false EAST WEST 174 40
true false WEST SOUTH 174 40
true false SOUTH SOUTH 174 40
true false SOUTH SOUTH 174 40
true false SOUTH WEST 174 40
true false WEST WEST 174 40
true false WEST WEST 174 40
true false WEST EAST 173 50
true false EAST SOUTH 173 50
true false SOUTH NORTH 173 50
true false NORTH SOUTH 173 50
true false SOUTH SOUTH 173 50
true false SOUTH WEST 173 50
true false WEST SOUTH 173 50
true false SOUTH SOUTH 173 50
true false SOUTH WEST 173 50
true false WEST WEST 172 60
true false WEST SOUTH 171 70
true false SOUTH SOUTH 171 70
true false SOUTH WEST 171 70
true false WEST NORTH 170 80
true false NORTH EAST 170 80
true false EAST EAST 170 80
true false EAST EAST 170 80
true false EAST EAST 170 80
true false EAST SOUTH 170 80
true false SOUTH NORTH 170 80
true false NORTH SOUTH 170 80
true false SOUTH SOUTH 170 80
true false SOUTH EAST 170 80
true false EAST SOUTH 170 80
true false SOUTH SOUTH 170 80
true false SOUTH WEST 170 80
true false WEST EAST 170 80
true false EAST NORTH 170 80
true false NORTH SOUTH 170 80
true false SOUTH EAST 170 80
true false EAST SOUTH 170 80
true false SOUTH EAST 170 80
true false EAST EAST 170 80
true false EAST SOUTH 169 90
true false SOUTH EAST 168 100
true false EAST EAST 168 100
true false EAST SOUTH 168 100
true false SOUTH EAST 167 110
true false EAST SOUTH 167 110
true false SOUTH EAST 167 110
true false EAST EAST 167 110
true false EAST NORTH 167 110
true false NORTH EAST 167 110
true false EAST EAST 167 110
true false EAST EAST 167 110
true false EAST WEST 167 110
true false WEST WEST 167 110
true false WEST NORTH 167 110
true false NORTH SOUTH 167 110
true false SOUTH NORTH 167 110
true false NORTH EAST 167 110
true false EAST NORTH 166 120
true false NORTH WEST 166 120
true false WEST NORTH 166 120
true false NORTH NORTH 166 120
true false NORTH WEST 166 120
true false WEST SOUTH 166 120
true false SOUTH SOUTH 166 120
true false SOUTH NORTH 166 120
true false NORTH SOUTH 166 120
true false SOUTH SOUTH 166 120
true false SOUTH WEST 166 120
true false WEST NORTH 166 120
true false NORTH WEST 166 120
true false WEST NORTH 166 120
true false NORTH NORTH 166 120
true false NORTH NORTH 165 130
true false NORTH WEST 165 130
true false WEST WEST 165 130
true false WEST NORTH 165 130
true false NORTH EAST 165 130
true false EAST WEST 164 140
true false WEST EAST 164 140
true false EAST WEST 164 140
true false WEST SOUTH 164 140
true false SOUTH SOUTH 164 140
true false SOUTH WEST 164 140
true false WEST NORTH 164 140
true false NORTH WEST 164 140
true false WEST NORTH 164 140
true false NORTH WEST 163 150
true false WEST SOUTH 163 150
true false SOUTH EAST 163 150
true false EAST NORTH 163 150
true false NORTH EAST 163 150
true false EAST NORTH 163 150
true false NORTH NORTH 163 150
true false NORTH NORTH 163 150
true false NORTH SOUTH 163 150
true false SOUTH SOUTH 163 150
true false SOUTH WEST 163 150
true false WEST NORTH 163 150
true false NORTH EAST 163 150
true false EAST NORTH 163 150
true false NORTH SOUTH 163 150
true false SOUTH EAST 163 150
true false EAST EAST 163 150
true false EAST EAST 163 150
true false EAST NORTH 163 150
true false NORTH SOUTH 163 150
true false SOUTH NORTH 163 150
true false NORTH WEST 163 150
true false WEST NORTH 163 150
true false NORTH WEST 163 150
true false WEST SOUTH 163 150
true false SOUTH WEST 163 150
true false WEST SOUTH 163 150
true false SOUTH WEST 163 150
true false WEST SOUTH 163 150
true false SOUTH WEST 163 150
true false WEST NORTH 163 150
true false NORTH EAST 163 150
true false EAST SOUTH 163 150
true false SOUTH WEST 163 150
true false WEST NORTH 163 150
true false NORTH EAST 163 150
true false EAST WEST 163 150
true false WEST SOUTH 163 150
true false SOUTH SOUTH 163 150
true false SOUTH SOUTH 163 150
true false SOUTH SOUTH 163 150
true false SOUTH SOUTH 163 150
true false SOUTH SOUTH 163 150
true false SOUTH SOUTH 163 150
true false SOUTH WEST 163 150
true false WEST SOUTH 163 150
true false SOUTH EAST 163 150
true false EAST NORTH 163 150
true false NORTH NORTH 163 150
true false NORTH EAST 163 150
true false EAST NORTH 163 150
true false NORTH EAST 163 150
true false EAST WEST 163 150
true false WEST NORTH 163 150
true false NORTH EAST 162 160
true false EAST NORTH 162 160
true false NORTH SOUTH 162 160
true false SOUTH NORTH 162 160
true false NORTH NORTH 162 160
true false NORTH SOUTH 162 160
true false SOUTH EAST 162 160
true false EAST NORTH 162 160
true false NORTH EAST 162 160
true false EAST NORTH 162 160
true false NORTH NORTH 162 160
true false NORTH SOUTH 162 160
true false SOUTH SOUTH 162 160
true false SOUTH EAST 162 160
true false EAST NORTH 162 160
true false NORTH NORTH 162 160
true false NORTH SOUTH 162 160
true false SOUTH NORTH 162 160
true false NORTH NORTH 162 160
true false NORTH WEST 162 160
true false WEST NORTH 162 160
true false NORTH EAST 162 160
